,influencer,month,capture_audience,denier_audience,sentiment_audience,male_audience,aggressive_audience,followers_audience,verified_audience,freq_audience,capture_echoer,denier_echoer,sentiment_echoer,male_echoer,aggressive_echoer,followers_echoer,verified_echoer,freq_echoer
55,JoyfullyECO,2017-10-01,0.0007283822623187692,0.02132991612901428,0.03513838811750643,0.6031746031746031,0.3157723848737484,6623.999251017941,0.0,253.34310913605648,0.00846928879969729,0.009526693203059636,0.13602269933276906,0.47658699338147165,0.26273062645809525,720114.6228526569,0.0,61.25139232890612
56,KHayhoe,2017-10-01,0.0001719616317269695,0.039201539201539196,-0.010576081982580435,0.7575757575757576,0.32901198128470854,5944.096899733263,0.0,50.28735916560868,0.00028159031535573753,0.015394086628236757,-0.020103965287471715,0.8019422441839379,0.3730636430381736,675927.3157940848,0.0,22.39723226011395
57,KamalaHarris,2017-10-01,8.787221181287119e-05,0.05575359633047048,-0.14270891355634513,0.5780346820809249,0.4437096993992693,4576.15308716287,0.0,215.29322816157492,0.00034043971232765,0.009813481441990093,-0.04338658252675737,0.47294191854135603,0.5541795507549933,8969349.564512664,0.0,48.75432090308622
58,MichaelEMann,2017-10-01,0.00015956101828412325,0.05374527771079495,0.07559698298161113,0.6090909090909091,0.30148994276170415,83272.65326402333,0.0,134.93652265687956,0.00045851690500378346,0.03154604545254646,0.04861077672976927,0.7981775622491438,0.3736502749259181,878133.7545988461,0.0,39.69409701542932
59,MikeBloomberg,2017-10-01,5.4806282626865125e-05,0.14285714285714285,0.04398825555812747,0.7142857142857143,0.40476190476190477,4781.142857142857,0.0,106.8999732592265,0.00011763598720120461,0.009804349090063376,0.2716366656965613,0.863095238095238,0.3220783771018733,3016004.78860474,0.0,24.61026421515019
60,NRDC,2017-10-01,0.00012173318545005619,0.02543415603613433,0.0014235616824634404,0.5807692307692308,0.38186923005935935,4462.076120066661,0.0,136.16900937848678,0.0006657225705270469,0.010727942169292426,0.0005504988327040605,0.8207429973540215,0.37853267960674836,2124346.572753671,0.0,45.31291344211832
61,NatGeo,2017-10-01,0.00027110841139422613,0.012407894736842104,0.014994543588898677,0.88,0.30405884904569114,14612.022834152689,0.0,123.51182657795846,0.00031975083941736786,0.007484976531085054,0.10098231095663354,0.8287695234317574,0.290059865720993,8432168.479696462,0.0,37.34118459369801
62,PaulEDawson,2017-10-01,0.00019731688992614854,0.03738717703386073,-0.009212173705909255,0.6207386363636364,0.3552658865365793,4852.944358696451,0.0,103.28898476410818,0.0010524872849597296,0.013865212399165688,0.015721607223976062,0.8061684315128591,0.360487964364823,855679.7271493196,0.0,38.45388294448447
63,SafetyPinDaily,2017-10-01,9.498431832071432e-05,0.04368961352657005,-0.25264109403403584,0.6086956521739131,0.5115726363008971,7261.938884575569,0.0,358.23425994311526,0.0005102558836781736,0.011229423162469443,-0.08723862701493962,0.5021410382503733,0.5464920105018456,1843314.545295413,0.0,148.1659664113391
64,TIME,2017-10-01,9.591099459701396e-05,0.040257648953301126,-0.1546294189850546,0.5925925925925926,0.39741009125067095,3209.801362050456,0.0,198.02684501515043,0.0003868821693015615,0.017448872049315705,-0.10903338376831637,0.8251142294989902,0.5096743836273052,13359917.078468299,0.0,87.29528835161872
